ZIP,January,February,March,April,May,June,July,August,September,October,November,December,Total
02915,6,14,10,4,14,7,14,23,7,25,0,0,124
02806,0,0,0,2,1,0,0,1,0,0,2,0,6
02885,7,0,4,1,2,3,6,10,4,12,4,0,53
02809,1,2,9,2,8,8,4,6,8,5,3,0,56
02893,28,28,24,15,15,26,17,51,24,43,38,0,309
02816,8,7,9,10,9,7,7,21,9,12,16,0,115
02827,0,0,0,0,0,2,0,0,0,1,0,0,3
02818,4,3,10,2,2,4,8,6,6,11,6,0,62
02852,10,5,5,6,3,3,2,2,6,9,16,0,67
02888,2,6,4,3,4,4,3,7,5,4,0,0,42
02886,22,12,13,7,10,20,19,20,19,20,7,0,169
02889,5,5,10,7,11,10,10,11,15,13,5,0,102
02871,3,0,0,1,7,2,4,3,0,5,2,0,27
02841,1,4,5,4,2,3,4,1,1,1,10,0,36
02842,7,6,4,3,8,1,2,3,2,8,7,0,51
02840,25,16,16,33,12,24,23,22,14,12,14,0,211
02835,0,0,1,0,1,1,1,0,0,0,0,0,4
02801,0,0,0,0,1,1,0,0,0,0,0,0,2
02878,1,0,5,3,3,8,5,6,9,5,4,0,49
02905,10,16,13,17,22,13,15,24,25,29,27,0,211
02907,13,26,21,16,21,20,26,20,25,21,17,0,226
02908,46,41,55,28,34,36,31,45,57,53,44,0,470
02903,5,1,11,3,3,12,6,5,9,8,10,0,73
02909,32,40,45,35,39,56,41,62,99,56,73,0,578
02910,15,10,7,10,10,18,6,14,19,14,11,0,134
02904,30,26,13,26,27,24,16,28,36,46,24,0,296
02906,1,4,3,1,1,3,4,3,5,6,5,0,36
02912,0,0,0,0,1,0,0,1,0,1,0,0,3
02916,3,0,2,1,1,1,3,2,1,4,0,0,18
02914,3,7,5,5,6,7,3,32,10,8,7,0,93
02863,25,26,27,19,17,23,22,48,27,40,25,0,299
02864,11,4,3,5,9,13,5,12,12,11,8,0,93
02865,4,3,6,6,3,5,3,5,5,7,7,0,54
02860,57,65,47,62,46,70,56,91,46,88,71,0,699
02911,3,9,10,10,7,16,15,12,6,17,11,0,116
02919,6,10,3,7,10,10,7,37,14,12,11,0,127
02828,0,0,1,0,1,0,0,1,0,0,0,0,3
02814,0,3,0,0,1,2,0,1,2,0,3,0,12
02896,3,2,2,2,1,5,0,4,2,3,0,0,24
02830,0,2,0,1,5,1,8,8,0,3,12,0,40
02859,0,0,0,0,0,0,1,0,1,1,0,0,3
02857,2,2,3,0,0,0,0,0,3,0,4,0,14
02831,1,0,1,0,2,1,4,1,0,0,2,0,12
02920,15,18,14,14,13,18,22,15,13,13,9,0,164
02921,2,2,3,0,3,3,3,1,0,1,3,0,21
02861,11,16,12,11,19,12,12,15,16,20,14,0,158
02895,53,53,43,48,55,63,65,94,57,91,84,0,706
02807,0,0,0,0,0,0,0,0,0,0,1,0,1
02874,0,1,3,0,1,3,1,3,1,0,2,0,15
02822,0,3,0,1,0,4,1,1,0,2,0,0,12
02832,4,2,0,5,3,1,0,2,3,1,2,0,23
02891,15,6,13,6,6,9,8,6,3,8,10,0,90
02813,0,0,1,3,0,3,2,1,1,2,0,0,13
02879,1,2,1,3,4,0,5,2,1,2,3,0,24
02881,0,0,0,1,1,0,1,1,0,0,1,0,5
02882,3,1,2,0,4,5,1,2,1,9,6,0,34
